Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Refcode,SMILES,InChI string,Cell volume,Calculated density,Study temperature,Number of coordinates,Z prime,R factor,Unique chemical units,Multiplier sum,Molecular weight,S_L,M_L,S_M,S,Globularity,FrTPSA,Dipole moment,Space Group symbol,Publication year,Predicted density
19,10.58,11.01,19.0,True,90.0,True,90.0,True,90.0,4,4,3,4,3,5,3,2,2,ATPRCL01,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C12,"InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1",2212.596,1.251,295,61,1.0,4.7,1,1,416.2021305,0.606423513,0.970493907,0.6248607110000001,8.594686086,0.525102455,0.176926246,1.674682256,P212121,1989,1.25593
19,6.26,7.01,23.76,True,90.0,True,90.0,True,90.0,4,2,4,4,4,4,5,4,2,BAFVOT,CC1(C)C(N2C(CC2=O)S1(=O)=O)C(O)=O,"InChI=1S/C8H11NO5S/c1-8(2)6(7(11)12)9-4(10)3-5(9)15(8,13)14/h5-6H,3H2,1-2H3,(H,11,12)/t5-,6+/m1/s1",1041.827,1.487,295,26,1.0,3.66,1,1,233.0357935,0.74772141,0.954252789,0.783567435,7.020151563,0.6117349329999999,0.387762468,1.183237478,P212121,1981,1.52524
2,7.57,8.75,13.6,False,93.21,False,99.94,False,115.45,2,3,2,2,4,5,3,2,2,BEZJIA,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,"InChI=1S/C14H22BrN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)",792.7539999999998,1.442,293,42,1.0,5.4,1,1,343.089539,0.564280569,0.731061607,0.771864592,8.95185805,0.531610958,0.172365994,1.566578985,P-1,2004,1.42439
14,10.92,10.33,14.81,True,90.0,False,92.7,True,90.0,4,3,4,3,5,5,3,3,3,BICCIZ,COC(=O)C1=C(C)NC(=C(C1c1ccccc1N(=O)=O)C(=O)OC)C,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",1669.029,1.378,295,25,1.0,6.0,1,1,346.1164863,0.7200706440000001,0.873227546,0.824608256,8.671767873,0.527285804,0.261552622,2.655962432,P21/c,1980,1.34053
19,8.53,11.45,23.89,True,90.0,True,90.0,True,90.0,8,2,2,2,4,4,4,5,3,BIHGUV,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,"InChI=1S/2C8H15N3O7/c2*1-11(10-17)8(16)9-4-6(14)5(13)3(2-12)18-7(4)15/h2*3-7,12-15H,2H2,1H3,(H,9,16)/t2*3-,4-,5-,6-,7+/m11/s1",2333.92,1.51,293,66,2.0,4.7,1,1,265.0909998,0.583083573,0.7548542159999999,0.772445275,7.388068579,0.584088509,0.501284784,2.6452058,P212121,2003,1.56549
14,11.83,6.27,18.27,True,90.0,False,115.27,True,90.0,4,2,2,4,3,3,5,2,1,BIHYEW10,CC(C)(c1cccnc1)C(=O)c1cccnc1,"InChI=1S/C14H14N2O/c1-14(2,12-6-4-8-16-10-12)13(17)11-5-3-7-15-9-11/h3-10H,1-2H3",1224.815,1.227,295,31,1.0,3.6,1,1,226.1106131,0.589726703,0.916684721,0.643325551,6.869056564,0.610919739,0.151717166,0.925117696,P21/c,1983,1.27209
4,6.51,6.42,16.42,True,90.0,False,92.17,True,90.0,4,1,4,2,6,3,5,4,2,BISMEV14,NC(=O)CN1CCCC1=O,"InChI=1S/2C6H10N2O2/c2*7-5(9)4-8-3-1-2-6(8)10/h2*1-4H2,(H2,7,9)",685.154,1.378,298,40,2.0,10.91,1,1,142.07422759999997,0.7394895220000001,0.7625632609999999,0.969741869,6.863629866,0.611550898,0.30752153600000004,1.787511504,P21,2015,1.40423
33,12.38,4.65,14.11,True,90.0,True,90.0,True,90.0,4,1,3,3,4,2,5,4,1,BITZAF,Cc1ncc(CO)c(CO)c1O,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",812.538,1.383,295,23,1.0,4.8,1,1,169.0738932,0.643994422,0.820171676,0.785194662,5.866374699,0.635162639,0.33736088700000005,0.941502326,Pn21a,1982,1.42519
4,12.48,5.03,21.53,True,90.0,False,101.73,True,90.0,2,5,1,4,1,4,1,3,3,BOLBOV,CC(O)C(C)C1OC1CC1COC(CC(C)=CC(=O)OCCCCCCCCC(O)=O)C(O)C1O,"InChI=1S/C26H44O9/c1-16(13-23(30)33-11-9-7-5-4-6-8-10-22(28)29)12-20-25(32)24(31)19(15-34-20)14-21-26(35-21)17(2)18(3)27/h13,17-21,24-27,31-32H,4-12,14-15H2,1-3H3,(H,28,29)/b16-13+/t17-,18-,19-,20-,21-,24+,25-,26-/m0/s1",1323.815,1.256,100,79,1.0,3.01,1,1,500.298533,0.376259658,0.909799617,0.413563219,7.90592394,0.438878311,0.215055623,2.219401983,P21,2014,1.2517
4,11.88,7.04,11.26,True,90.0,False,111.95,True,90.0,2,3,1,2,3,4,4,2,2,BOMDUC,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m0/s1",873.005,1.234,295,48,1.0,3.3,1,1,324.183778,0.487407746,0.764907358,0.637211476,7.086846787000001,0.550637528,0.114649064,1.850505274,P21,1983,1.22677
14,21.42,5.73,27.78,True,90.0,False,108.07,True,90.0,8,3,5,4,5,7,3,2,1,BPYZDO21,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,"InChI=1S/2C19H20N2O2/c2*1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h2*4-13,17H,2-3,14H2,1H3",3240.685,1.264,150,84,2.0,0.0,1,1,308.15247789999995,0.80092778,0.929400104,0.8617685490000001,10.40366161,0.5249350110000001,0.100288029,0.202218053,P21/c,2009,1.21019
14,10.58,5.81,10.83,True,90.0,False,100.6,True,90.0,2,3,2,1,5,4,4,2,1,BRPRBZ,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,InChI=1S/C10H16Br2N2O2/c11-3-1-9(15)13-5-7-14(8-6-13)10(16)2-4-12/h1-8H2,654.3580000000002,1.807,295,32,0.5,7.9,1,1,353.957852,0.553838619,0.656062412,0.844185871,7.797210344,0.594294426,0.130048838,0.597332176,P21/c,1973,1.85796
14,10.3,15.9,8.12,True,90.0,False,106.8,True,90.0,4,3,4,4,5,5,5,2,3,CAGWOW,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,"InChI=1S/C14H10BrN3O/c15-9-4-5-11-10(7-9)14(17-8-13(19)18-11)12-3-1-2-6-16-12/h1-7H,8H2,(H,18,19)",1273.623,1.649,295,29,1.0,4.0,1,1,315.00072400000005,0.7532045159999999,0.918426081,0.8201035790000001,8.135835516,0.638651465,0.191349192,2.328086949,P21/c,1983,1.67402
14,7.32,13.67,14.36,True,90.0,False,96.68,True,90.0,4,3,4,4,4,5,4,3,3,CAGWUC,CN1C(=O)CN=C(c2ccccc2F)c2cc(ccc12)N(=O)=O,"InChI=1S/C16H12FN3O3/c1-19-14-7-6-10(20(22)23)8-12(14)16(18-9-15(19)21)11-4-2-3-5-13(11)17/h2-8H,9H2,1H3",1426.759,1.4580000000000002,295,34,1.0,5.4,1,1,313.0862695,0.7598826209999999,0.967914445,0.785072095,8.638028944,0.59819951,0.230740356,2.181732901,P21/n,1983,1.43653
